population,cycle,cycle_week,snapshot_date,faculty,school,department,sub_department,course_code,course_name,fee_status,country_of_domicile,academic_level,month_of_entry,mode_of_attendance,applications,offers,replies,acceptances,status_new,status_in_review,status_conditional_offer,status_unconditional_offer,status_rejected,status_withdrawn,deferred,target,provisional_student_number,data_mode
UG,2023,20,2023-02-06,Faculty of Science and Engineering,School of Engineering,Mechanical Engineering,Mechanical Engineering,H300,BEng Mechanical Engineering,Home,United Kingdom,Year 0/1,September,FT,562,184,74,53,79,281,151,33,84,13,3,331,317,Synthetic demonstration
UG,2023,21,2023-02-13,Faculty of Science and Engineering,School of Engineering,Mechanical Engineering,Mechanical Engineering,H300,BEng Mechanical Engineering,Home,United Kingdom,Year 0/1,September,FT,581,203,89,64,79,270,166,37,93,15,4,331,317,Synthetic demonstration
UG,2023,22,2023-02-20,Faculty of Science and Engineering,School of Engineering,Mechanical Engineering,Mechanical Engineering,H300,BEng Mechanical Engineering,Home,United Kingdom,Year 2+,September,FT,602,223,107,77,79,261,183,40,102,16,4,331,317,Synthetic demonstration
UG,2023,23,2023-02-27,Faculty of Science and Engineering,School of Engineering,Mechanical Engineering,Mechanical Engineering,H300,BEng Mechanical Engineering,Home,United Kingdom,Year 2+,September,FT,613,241,125,90,78,244,198,43,110,18,5,331,317,Synthetic demonstration
UG,2023,24,2023-03-06,Faculty of Science and Engineering,School of Engineering,Mechanical Engineering,Mechanical Engineering,H300,BEng Mechanical Engineering,Home,United Kingdom,Year 0/1,September,FT,624,259,145,104,77,227,212,47,119,19,6,331,317,Synthetic demonstration
UG,2023,25,2023-03-13,Faculty of Science and Engineering,School of Engineering,Mechanical Engineering,Mechanical Engineering,H300,BEng Mechanical Engineering,Home,United Kingdom,Year 0/1,September,FT,634,277,166,120,76,210,227,50,127,20,7,331,317,Synthetic demonstration
UG,2023,26,2023-03-20,Faculty of Science and Engineering,School of Engineering,Mechanical Engineering,Mechanical Engineering,H300,BEng Mechanical Engineering,Home,United Kingdom,Year 0/1,September,FT,644,295,189,136,75,192,242,53,135,22,7,331,317,Synthetic demonstration
UG,2023,27,2023-03-27,Faculty of Science and Engineering,School of Engineering,Mechanical Engineering,Mechanical Engineering,H300,BEng Mechanical Engineering,Home,United Kingdom,Year 0/1,September,FT,650,312,212,153,73,172,256,56,143,23,8,331,317,Synthetic demonstration
UG,2023,28,2023-04-03,Faculty of Science and Engineering,School of Engineering,Mechanical Engineering,Mechanical Engineering,H300,BEng Mechanical Engineering,Home,United Kingdom,Year 0/1,September,FT,655,314,226,163,71,174,257,57,144,23,9,331,317,Synthetic demonstration
UG,2023,29,2023-04-10,Faculty of Science and Engineering,School of Engineering,Mechanical Engineering,Mechanical Engineering,H300,BEng Mechanical Engineering,Home,United Kingdom,Year 0/1,September,FT,659,316,240,173,69,175,259,57,145,23,10,331,317,Synthetic demonstration
UG,2023,30,2023-04-17,Faculty of Science and Engineering,School of Engineering,Mechanical Engineering,Mechanical Engineering,H300,BEng Mechanical Engineering,Home,United Kingdom,Year 0/1,September,FT,666,320,256,184,67,176,262,58,147,23,10,331,317,Synthetic demonstration
UG,2023,31,2023-04-24,Faculty of Science and Engineering,School of Engineering,Mechanical Engineering,Mechanical Engineering,H300,BEng Mechanical Engineering,Home,United Kingdom,Year 0/1,September,FT,663,318,267,192,64,176,261,57,146,23,11,331,317,Synthetic demonstration
UG,2023,32,2023-05-01,Faculty of Science and Engineering,School of Engineering,Mechanical Engineering,Mechanical Engineering,H300,BEng Mechanical Engineering,Home,United Kingdom,Year 2+,September,FT,665,319,281,202,61,177,262,57,146,23,11,331,317,Synthetic demonstration
UG,2023,33,2023-05-08,Faculty of Science and Engineering,School of Engineering,Mechanical Engineering,Mechanical Engineering,H300,BEng Mechanical Engineering,Home,United Kingdom,Year 0/1,September,FT,666,320,294,212,59,176,262,58,147,23,12,331,317,Synthetic demonstration
UG,2023,34,2023-05-15,Faculty of Science and Engineering,School of Engineering,Mechanical Engineering,Mechanical Engineering,H300,BEng Mechanical Engineering,Home,United Kingdom,Year 0/1,September,FT,671,322,296,213,56,178,264,58,148,23,12,331,317,Synthetic demonstration
UG,2023,35,2023-05-22,Faculty of Science and Engineering,School of Engineering,Mechanical Engineering,Mechanical Engineering,H300,BEng Mechanical Engineering,Home,United Kingdom,Year 0/1,September,FT,673,323,297,214,54,178,265,58,148,24,12,331,317,Synthetic demonstration
UG,2023,36,2023-05-29,Faculty of Science and Engineering,School of Engineering,Mechanical Engineering,Mechanical Engineering,H300,BEng Mechanical Engineering,Home,United Kingdom,Year 0/1,September,FT,671,322,296,213,51,178,264,58,148,23,12,331,317,Synthetic demonstration
UG,2023,37,2023-06-05,Faculty of Science and Engineering,School of Engineering,Mechanical Engineering,Mechanical Engineering,H300,BEng Mechanical Engineering,Home,United Kingdom,Year 0/1,September,FT,670,322,296,213,48,178,264,58,147,23,12,331,317,Synthetic demonstration
UG,2023,38,2023-06-12,Faculty of Science and Engineering,School of Engineering,Mechanical Engineering,Mechanical Engineering,H300,BEng Mechanical Engineering,Home,United Kingdom,Year 2+,September,FT,671,322,296,213,46,178,264,58,148,23,12,331,317,Synthetic demonstration
UG,2023,39,2023-06-19,Faculty of Science and Engineering,School of Engineering,Mechanical Engineering,Mechanical Engineering,H300,BEng Mechanical Engineering,Home,United Kingdom,Year 0/1,September,FT,674,324,298,215,43,178,266,58,148,24,12,331,317,Synthetic demonstration
UG,2023,40,2023-06-26,Faculty of Science and Engineering,School of Engineering,Mechanical Engineering,Mechanical Engineering,H300,BEng Mechanical Engineering,Home,United Kingdom,Year 0/1,September,FT,675,324,298,215,40,179,266,58,148,24,12,331,317,Synthetic demonstration
UG,2023,1,2022-09-26,Faculty of Science and Engineering,School of Engineering,Mechanical Engineering,Mechanical Engineering,H300,BEng Mechanical Engineering,Overseas,Nigeria,Year 0/1,September,FT,18,0,0,0,4,18,0,0,0,0,0,143,137,Synthetic demonstration
UG,2023,2,2022-10-03,Faculty of Science and Engineering,School of Engineering,Mechanical Engineering,Mechanical Engineering,H300,BEng Mechanical Engineering,Overseas,Hong Kong,Year 2+,September,FT,20,0,0,0,4,20,0,0,0,0,0,143,137,Synthetic demonstration
UG,2023,3,2022-10-10,Faculty of Science and Engineering,School of Engineering,Mechanical Engineering,Mechanical Engineering,H300,BEng Mechanical Engineering,Overseas,Canada,Year 0/1,September,FT,27,0,0,0,6,27,0,0,0,0,0,143,137,Synthetic demonstration
UG,2023,4,2022-10-17,Faculty of Science and Engineering,School of Engineering,Mechanical Engineering,Mechanical Engineering,H300,BEng Mechanical Engineering,Overseas,Hong Kong,Year 0/1,September,FT,33,0,0,0,7,33,0,0,0,0,0,143,137,Synthetic demonstration
UG,2023,5,2022-10-24,Faculty of Science and Engineering,School of Engineering,Mechanical Engineering,Mechanical Engineering,H300,BEng Mechanical Engineering,Overseas,Canada,Year 0/1,September,FT,40,0,0,0,8,40,0,0,0,0,0,143,137,Synthetic demonstration
UG,2023,6,2022-10-31,Faculty of Science and Engineering,School of Engineering,Mechanical Engineering,Mechanical Engineering,H300,BEng Mechanical Engineering,Overseas,Saudi Arabia,Year 0/1,September,FT,50,1,0,0,10,49,1,0,0,0,0,143,137,Synthetic demonstration
UG,2023,7,2022-11-07,Faculty of Science and Engineering,School of Engineering,Mechanical Engineering,Mechanical Engineering,H300,BEng Mechanical Engineering,Overseas,Malaysia,Year 0/1,September,FT,59,2,0,0,11,56,2,0,1,0,0,143,137,Synthetic demonstration
UG,2023,8,2022-11-14,Faculty of Science and Engineering,School of Engineering,Mechanical Engineering,Mechanical Engineering,H300,BEng Mechanical Engineering,Overseas,India,Year 0/1,September,FT,72,4,0,0,14,66,3,1,2,0,0,143,137,Synthetic demonstration
UG,2023,9,2022-11-21,Faculty of Science and Engineering,School of Engineering,Mechanical Engineering,Mechanical Engineering,H300,BEng Mechanical Engineering,Overseas,Malaysia,Year 0/1,September,FT,83,6,0,0,15,73,5,1,3,1,0,143,137,Synthetic demonstration
UG,2023,10,2022-11-28,Faculty of Science and Engineering,School of Engineering,Mechanical Engineering,Mechanical Engineering,H300,BEng Mechanical Engineering,Overseas,China,Year 0/1,September,FT,98,9,0,0,18,83,7,2,5,1,0,143,137,Synthetic demonstration
UG,2023,11,2022-12-05,Faculty of Science and Engineering,School of Engineering,Mechanical Engineering,Mechanical Engineering,H300,BEng Mechanical Engineering,Overseas,Nigeria,Year 2+,September,FT,114,12,0,0,20,94,10,2,7,1,0,143,137,Synthetic demonstration
UG,2023,12,2022-12-12,Faculty of Science and Engineering,School of Engineering,Mechanical Engineering,Mechanical Engineering,H300,BEng Mechanical Engineering,Overseas,United Arab Emirates,Year 2+,September,FT,126,16,1,1,22,100,13,3,9,1,0,143,137,Synthetic demonstration
UG,2023,13,2022-12-19,Faculty of Science and Engineering,School of Engineering,Mechanical Engineering,Mechanical Engineering,H300,BEng Mechanical Engineering,Overseas,Hong Kong,Year 0/1,September,FT,145,21,3,2,24,110,17,4,12,2,0,143,137,Synthetic demonstration
UG,2023,14,2022-12-26,Faculty of Science and Engineering,School of Engineering,Mechanical Engineering,Mechanical Engineering,H300,BEng Mechanical Engineering,Overseas,Hong Kong,Year 2+,September,FT,162,26,4,3,27,119,21,5,15,2,0,143,137,Synthetic demonstration
UG,2023,15,2023-01-02,Faculty of Science and Engineering,School of Engineering,Mechanical Engineering,Mechanical Engineering,H300,BEng Mechanical Engineering,Overseas,India,Year 0/1,September,FT,178,32,6,4,28,125,26,6,18,3,0,143,137,Synthetic demonstration
UG,2023,16,2023-01-09,Faculty of Science and Engineering,School of Engineering,Mechanical Engineering,Mechanical Engineering,H300,BEng Mechanical Engineering,Overseas,Saudi Arabia,Year 0/1,September,FT,194,38,9,6,30,132,31,7,21,3,0,143,137,Synthetic demonstration
UG,2023,17,2023-01-16,Faculty of Science and Engineering,School of Engineering,Mechanical Engineering,Mechanical Engineering,H300,BEng Mechanical Engineering,Overseas,Singapore,Year 0/1,September,FT,212,46,13,9,32,137,38,8,25,4,0,143,137,Synthetic demonstration
UG,2023,18,2023-01-23,Faculty of Science and Engineering,School of Engineering,Mechanical Engineering,Mechanical Engineering,H300,BEng Mechanical Engineering,Overseas,Malaysia,Year 0/1,September,FT,220,51,16,12,33,135,42,9,29,5,1,143,137,Synthetic demonstration
UG,2023,19,2023-01-30,Faculty of Science and Engineering,School of Engineering,Mechanical Engineering,Mechanical Engineering,H300,BEng Mechanical Engineering,Overseas,United Arab Emirates,Year 0/1,September,FT,235,59,21,15,34,138,48,11,33,5,1,143,137,Synthetic demonstration
UG,2023,20,2023-02-06,Faculty of Science and Engineering,School of Engineering,Mechanical Engineering,Mechanical Engineering,H300,BEng Mechanical Engineering,Overseas,United States,Year 0/1,September,FT,240,64,26,19,34,134,52,12,36,6,1,143,137,Synthetic demonstration
UG,2023,21,2023-02-13,Faculty of Science and Engineering,School of Engineering,Mechanical Engineering,Mechanical Engineering,H300,BEng Mechanical Engineering,Overseas,China,Year 0/1,September,FT,251,72,32,23,34,133,59,13,40,6,1,143,137,Synthetic demonstration
UG,2023,22,2023-02-20,Faculty of Science and Engineering,School of Engineering,Mechanical Engineering,Mechanical Engineering,H300,BEng Mechanical Engineering,Overseas,Nigeria,Year 2+,September,FT,260,79,38,27,34,130,65,14,44,7,1,143,137,Synthetic demonstration
UG,2023,23,2023-02-27,Faculty of Science and Engineering,School of Engineering,Mechanical Engineering,Mechanical Engineering,H300,BEng Mechanical Engineering,Overseas,Hong Kong,Year 2+,September,FT,267,86,45,32,34,125,71,15,48,8,2,143,137,Synthetic demonstration
UG,2023,24,2023-03-06,Faculty of Science and Engineering,School of Engineering,Mechanical Engineering,Mechanical Engineering,H300,BEng Mechanical Engineering,Overseas,Singapore,Year 0/1,September,FT,272,92,52,37,34,120,75,17,52,8,2,143,137,Synthetic demonstration
UG,2023,25,2023-03-13,Faculty of Science and Engineering,School of Engineering,Mechanical Engineering,Mechanical Engineering,H300,BEng Mechanical Engineering,Overseas,Hong Kong,Year 0/1,September,FT,276,99,59,42,33,113,81,18,55,9,2,143,137,Synthetic demonstration
UG,2023,26,2023-03-20,Faculty of Science and Engineering,School of Engineering,Mechanical Engineering,Mechanical Engineering,H300,BEng Mechanical Engineering,Overseas,India,Year 0/1,September,FT,277,104,67,48,32,106,85,19,58,9,3,143,137,Synthetic demonstration
UG,2023,27,2023-03-27,Faculty of Science and Engineering,School of Engineering,Mechanical Engineering,Mechanical Engineering,H300,BEng Mechanical Engineering,Overseas,Saudi Arabia,Year 0/1,September,FT,280,110,75,54,31,98,90,20,62,10,3,143,137,Synthetic demonstration
UG,2023,28,2023-04-03,Faculty of Science and Engineering,School of Engineering,Mechanical Engineering,Mechanical Engineering,H300,BEng Mechanical Engineering,Overseas,United Arab Emirates,Year 0/1,September,FT,285,112,81,58,31,100,92,20,63,10,3,143,137,Synthetic demonstration
UG,2023,29,2023-04-10,Faculty of Science and Engineering,School of Engineering,Mechanical Engineering,Mechanical Engineering,H300,BEng Mechanical Engineering,Overseas,Canada,Year 0/1,September,FT,285,112,85,61,30,100,92,20,63,10,3,143,137,Synthetic demonstration
UG,2023,30,2023-04-17,Faculty of Science and Engineering,School of Engineering,Mechanical Engineering,Mechanical Engineering,H300,BEng Mechanical Engineering,Overseas,United Arab Emirates,Year 0/1,September,FT,284,112,90,65,28,100,92,20,62,10,4,143,137,Synthetic demonstration
UG,2023,31,2023-04-24,Faculty of Science and Engineering,School of Engineering,Mechanical Engineering,Mechanical Engineering,H300,BEng Mechanical Engineering,Overseas,China,Year 0/1,September,FT,285,112,94,68,27,100,92,20,63,10,4,143,137,Synthetic demonstration
UG,2023,32,2023-05-01,Faculty of Science and Engineering,School of Engineering,Mechanical Engineering,Mechanical Engineering,H300,BEng Mechanical Engineering,Overseas,Canada,Year 2+,September,FT,287,113,99,71,26,101,93,20,63,10,4,143,137,Synthetic demonstration
UG,2023,33,2023-05-08,Faculty of Science and Engineering,School of Engineering,Mechanical Engineering,Mechanical Engineering,H300,BEng Mechanical Engineering,Overseas,Nigeria,Year 0/1,September,FT,290,114,105,76,26,102,93,21,64,10,4,143,137,Synthetic demonstration
UG,2023,34,2023-05-15,Faculty of Science and Engineering,School of Engineering,Mechanical Engineering,Mechanical Engineering,H300,BEng Mechanical Engineering,Overseas,United States,Year 0/1,September,FT,290,114,105,76,24,102,93,21,64,10,4,143,137,Synthetic demonstration
UG,2023,35,2023-05-22,Faculty of Science and Engineering,School of Engineering,Mechanical Engineering,Mechanical Engineering,H300,BEng Mechanical Engineering,Overseas,Hong Kong,Year 0/1,September,FT,292,115,106,76,23,103,94,21,64,10,4,143,137,Synthetic demonstration
UG,2023,36,2023-05-29,Faculty of Science and Engineering,School of Engineering,Mechanical Engineering,Mechanical Engineering,H300,BEng Mechanical Engineering,Overseas,India,Year 0/1,September,FT,290,114,105,76,22,102,93,21,64,10,4,143,137,Synthetic demonstration
UG,2023,37,2023-06-05,Faculty of Science and Engineering,School of Engineering,Mechanical Engineering,Mechanical Engineering,H300,BEng Mechanical Engineering,Overseas,India,Year 0/1,September,FT,291,115,106,76,21,102,94,21,64,10,4,143,137,Synthetic demonstration
UG,2023,38,2023-06-12,Faculty of Science and Engineering,School of Engineering,Mechanical Engineering,Mechanical Engineering,H300,BEng Mechanical Engineering,Overseas,Singapore,Year 2+,September,FT,292,115,106,76,20,103,94,21,64,10,4,143,137,Synthetic demonstration
UG,2023,39,2023-06-19,Faculty of Science and Engineering,School of Engineering,Mechanical Engineering,Mechanical Engineering,H300,BEng Mechanical Engineering,Overseas,China,Year 0/1,September,FT,291,115,106,76,19,102,94,21,64,10,4,143,137,Synthetic demonstration
UG,2023,40,2023-06-26,Faculty of Science and Engineering,School of Engineering,Mechanical Engineering,Mechanical Engineering,H300,BEng Mechanical Engineering,Overseas,United Arab Emirates,Year 0/1,September,FT,292,115,106,76,18,103,94,21,64,10,4,143,137,Synthetic demonstration
UG,2023,1,2022-09-26,Faculty of Science and Engineering,School of Engineering,Mechanical Engineering,Mechanical Engineering,H300,BEng Mechanical Engineering,Pending assessment,Pending fee assessment,Year 0/1,September,FT,1,0,0,0,0,1,0,0,0,0,0,20,19,Synthetic demonstration
UG,2023,2,2022-10-03,Faculty of Science and Engineering,School of Engineering,Mechanical Engineering,Mechanical Engineering,H300,BEng Mechanical Engineering,Pending assessment,Pending fee assessment,Year 2+,September,FT,2,0,0,0,0,2,0,0,0,0,0,20,19,Synthetic demonstration
UG,2023,3,2022-10-10,Faculty of Science and Engineering,School of Engineering,Mechanical Engineering,Mechanical Engineering,H300,BEng Mechanical Engineering,Pending assessment,Pending fee assessment,Year 0/1,September,FT,3,0,0,0,1,3,0,0,0,0,0,20,19,Synthetic demonstration
UG,2023,4,2022-10-17,Faculty of Science and Engineering,School of Engineering,Mechanical Engineering,Mechanical Engineering,H300,BEng Mechanical Engineering,Pending assessment,Pending fee assessment,Year 0/1,September,FT,2,0,0,0,0,2,0,0,0,0,0,20,19,Synthetic demonstration
UG,2023,5,2022-10-24,Faculty of Science and Engineering,School of Engineering,Mechanical Engineering,Mechanical Engineering,H300,BEng Mechanical Engineering,Pending assessment,Pending fee assessment,Year 0/1,September,FT,6,0,0,0,1,6,0,0,0,0,0,20,19,Synthetic demonstration
UG,2023,6,2022-10-31,Faculty of Science and Engineering,School of Engineering,Mechanical Engineering,Mechanical Engineering,H300,BEng Mechanical Engineering,Pending assessment,Pending fee assessment,Year 0/1,September,FT,6,0,0,0,1,6,0,0,0,0,0,20,19,Synthetic demonstration
UG,2023,7,2022-11-07,Faculty of Science and Engineering,School of Engineering,Mechanical Engineering,Mechanical Engineering,H300,BEng Mechanical Engineering,Pending assessment,Pending fee assessment,Year 0/1,September,FT,8,0,0,0,2,8,0,0,0,0,0,20,19,Synthetic demonstration
UG,2023,8,2022-11-14,Faculty of Science and Engineering,School of Engineering,Mechanical Engineering,Mechanical Engineering,H300,BEng Mechanical Engineering,Pending assessment,Pending fee assessment,Year 0/1,September,FT,11,0,0,0,2,11,0,0,0,0,0,20,19,Synthetic demonstration
UG,2023,9,2022-11-21,Faculty of Science and Engineering,School of Engineering,Mechanical Engineering,Mechanical Engineering,H300,BEng Mechanical Engineering,Pending assessment,Pending fee assessment,Year 0/1,September,FT,12,1,0,0,2,11,1,0,0,0,0,20,19,Synthetic demonstration
UG,2023,10,2022-11-28,Faculty of Science and Engineering,School of Engineering,Mechanical Engineering,Mechanical Engineering,H300,BEng Mechanical Engineering,Pending assessment,Pending fee assessment,Year 0/1,September,FT,15,1,0,0,3,13,1,0,1,0,0,20,19,Synthetic demonstration
UG,2023,11,2022-12-05,Faculty of Science and Engineering,School of Engineering,Mechanical Engineering,Mechanical Engineering,H300,BEng Mechanical Engineering,Pending assessment,Pending fee assessment,Year 2+,September,FT,15,1,0,0,3,13,1,0,1,0,0,20,19,Synthetic demonstration
UG,2023,12,2022-12-12,Faculty of Science and Engineering,School of Engineering,Mechanical Engineering,Mechanical Engineering,H300,BEng Mechanical Engineering,Pending assessment,Pending fee assessment,Year 2+,September,FT,17,2,0,0,3,14,2,0,1,0,0,20,19,Synthetic demonstration
UG,2023,13,2022-12-19,Faculty of Science and Engineering,School of Engineering,Mechanical Engineering,Mechanical Engineering,H300,BEng Mechanical Engineering,Pending assessment,Pending fee assessment,Year 0/1,September,FT,20,2,0,0,3,16,2,0,2,0,0,20,19,Synthetic demonstration
UG,2023,14,2022-12-26,Faculty of Science and Engineering,School of Engineering,Mechanical Engineering,Mechanical Engineering,H300,BEng Mechanical Engineering,Pending assessment,Pending fee assessment,Year 2+,September,FT,19,2,0,0,3,15,2,0,2,0,0,20,19,Synthetic demonstration
UG,2023,15,2023-01-02,Faculty of Science and Engineering,School of Engineering,Mechanical Engineering,Mechanical Engineering,H300,BEng Mechanical Engineering,Pending assessment,Pending fee assessment,Year 0/1,September,FT,22,3,1,1,4,17,2,1,2,0,0,20,19,Synthetic demonstration
UG,2023,16,2023-01-09,Faculty of Science and Engineering,School of Engineering,Mechanical Engineering,Mechanical Engineering,H300,BEng Mechanical Engineering,Pending assessment,Pending fee assessment,Year 0/1,September,FT,24,4,1,1,4,17,3,1,3,0,0,20,19,Synthetic demonstration
UG,2023,17,2023-01-16,Faculty of Science and Engineering,School of Engineering,Mechanical Engineering,Mechanical Engineering,H300,BEng Mechanical Engineering,Pending assessment,Pending fee assessment,Year 0/1,September,FT,27,5,1,1,4,18,4,1,3,1,0,20,19,Synthetic demonstration
UG,2023,18,2023-01-23,Faculty of Science and Engineering,School of Engineering,Mechanical Engineering,Mechanical Engineering,H300,BEng Mechanical Engineering,Pending assessment,Pending fee assessment,Year 0/1,September,FT,31,6,2,1,5,20,5,1,4,1,0,20,19,Synthetic demonstration
UG,2023,19,2023-01-30,Faculty of Science and Engineering,School of Engineering,Mechanical Engineering,Mechanical Engineering,H300,BEng Mechanical Engineering,Pending assessment,Pending fee assessment,Year 0/1,September,FT,30,6,2,1,4,19,5,1,4,1,0,20,19,Synthetic demonstration
UG,2023,20,2023-02-06,Faculty of Science and Engineering,School of Engineering,Mechanical Engineering,Mechanical Engineering,H300,BEng Mechanical Engineering,Pending assessment,Pending fee assessment,Year 0/1,September,FT,33,7,3,2,5,20,6,1,5,1,0,20,19,Synthetic demonstration
UG,2023,21,2023-02-13,Faculty of Science and Engineering,School of Engineering,Mechanical Engineering,Mechanical Engineering,H300,BEng Mechanical Engineering,Pending assessment,Pending fee assessment,Year 0/1,September,FT,37,8,4,3,5,22,7,1,6,1,0,20,19,Synthetic demonstration
UG,2023,22,2023-02-20,Faculty of Science and Engineering,School of Engineering,Mechanical Engineering,Mechanical Engineering,H300,BEng Mechanical Engineering,Pending assessment,Pending fee assessment,Year 2+,September,FT,35,8,4,3,5,20,7,1,6,1,0,20,19,Synthetic demonstration
UG,2023,23,2023-02-27,Faculty of Science and Engineering,School of Engineering,Mechanical Engineering,Mechanical Engineering,H300,BEng Mechanical Engineering,Pending assessment,Pending fee assessment,Year 2+,September,FT,38,10,5,4,5,20,8,2,7,1,0,20,19,Synthetic demonstration
UG,2023,24,2023-03-06,Faculty of Science and Engineering,School of Engineering,Mechanical Engineering,Mechanical Engineering,H300,BEng Mechanical Engineering,Pending assessment,Pending fee assessment,Year 0/1,September,FT,35,9,5,4,4,18,7,2,7,1,0,20,19,Synthetic demonstration
UG,2023,25,2023-03-13,Faculty of Science and Engineering,School of Engineering,Mechanical Engineering,Mechanical Engineering,H300,BEng Mechanical Engineering,Pending assessment,Pending fee assessment,Year 0/1,September,FT,37,10,6,4,4,19,8,2,7,1,0,20,19,Synthetic demonstration
